date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:17	51201/51201	---M--	200	added ('OK')	image/jpeg	etag:%222d88087-c801-4fc3ea6799380%22	http://2015.springfest.in/img/gallery/12.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/gallery/12.jpg	(from http://2015.springfest.in/)
15:40:17	26197/26197	---M--	200	added ('OK')	image/jpeg	etag:%222d88090-6655-4fc3ea6799380%22	http://2015.springfest.in/img/gallery/14.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/gallery/14.jpg	(from http://2015.springfest.in/)
15:40:23	43892/43892	---M--	200	added ('OK')	image/jpeg	etag:%222d88091-ab74-4fc3ea6799380%22	http://2015.springfest.in/img/gallery/16.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/gallery/16.jpg	(from http://2015.springfest.in/)
15:40:24	70388/70388	---M--	200	added ('OK')	image/jpeg	etag:%222d8808a-112f4-4fc3ea6799380%22	http://2015.springfest.in/img/gallery/15.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/gallery/15.jpg	(from http://2015.springfest.in/)
15:40:33	98888/98888	---M--	200	added ('OK')	image/jpeg	etag:%222d8808b-18248-4fc3ea6799380%22	http://2015.springfest.in/img/gallery/17.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/gallery/17.jpg	(from http://2015.springfest.in/)
15:40:34	98788/98788	---M--	200	added ('OK')	image/jpeg	etag:%222d8808f-181e4-4fc3ea6799380%22	http://2015.springfest.in/img/gallery/18.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/gallery/18.jpg	(from http://2015.springfest.in/)
15:40:35	75011/75011	---M--	200	added ('OK')	image/jpeg	etag:%222d88083-12503-4fc3ea6799380%22	http://2015.springfest.in/img/gallery/19.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/gallery/19.jpg	(from http://2015.springfest.in/)
15:40:39	95631/95631	---M--	200	added ('OK')	image/jpeg	etag:%222d88082-1758f-4fc3ea6799380%22	http://2015.springfest.in/img/gallery/20.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/gallery/20.jpg	(from http://2015.springfest.in/)
15:40:41	483/483	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Sep%202014%2010:12:12%20GMT	http://2015.springfest.in/www.facebook.com/sanket.sahu.007	C:/Users/srinath/Documents/springfest/2015.springfest.in/www.facebook.com/sanket.sahu.22.delayed	(from http://2015.springfest.in/)
15:40:41	404/404	---M--	200	added ('OK')	application/javascript	etag:%22305cafb-194-5011389e44c40%22	http://2015.springfest.in/js/sponsors.js	C:/Users/srinath/Documents/springfest/2015.springfest.in/js/sponsors.js	(from http://2015.springfest.in/)
